Size PP [nm];Volume [mL];Concentration [mg/mL];Type;Amplitude;Time [min];Total Energy [J];Energy Density [J/mL];Repetition;Mean PDI;Z-Average [nm];STDV
100;5;1;1;30;45;14253.0052;2850.60104;2;0.227;119.0666667;6.335262864
100;5;1;1;30;45;14253.0052;2850.60104;3;0.227;119.0666667;6.335262864
100;5;5;1;10;45;3428.788;685.7576;1;0.055;111.2;0.852447457
100;5;5;1;10;45;3428.788;685.7576;2;0.063;112.1;1.061445555
100;5;5;1;10;45;3428.788;685.7576;3;0.06;111.2;0.725718035
100;5;10;0;100;1;380.2977067;76.05954133;1;0.230666667;205.0666667;2.023747898
100;5;10;0;100;1;380.2977067;76.05954133;2;0.469;310.7;1.20277457
100;5;10;0;100;1;380.2977067;76.05954133;3;0.534;379;6.048691319
100;10;1;1;10;45;3428.788;342.8788;1;0.129333333;117.8333333;0.740870359
100;10;1;1;10;45;3428.788;342.8788;2;0.139;118.8;2.054263858
100;10;1;1;10;45;3428.788;342.8788;3;0.106333333;116.8666667;0.329983165
100;10;5;0;100;1;380.2977067;38.02977067;1;0.512333333;508.5666667;10.59947588
100;10;5;0;100;1;380.2977067;38.02977067;2;0.874;675.8;43.94519314
100;10;5;0;100;1;380.2977067;38.02977067;3;0.532666667;461.4;2.641968963
100;10;10;0;30;1;104.8370933;10.48370933;1;0.584;488.3;14.730241
100;10;10;0;30;1;104.8370933;10.48370933;2;0.513666667;459.1666667;10.16999945
100;10;10;0;30;1;104.8370933;10.48370933;3;0.776;617.4;30.08465833
100;10;10;0;100;20;3171.13728;317.113728;1;0.491;335.5666667;0.703957069
100;10;10;0;100;20;3171.13728;317.113728;2;0.261;225.0333333;2.854625875
100;10;10;0;100;20;3171.13728;317.113728;3;0.227;202.6333333;1.10855261
40;1;1;1;10;1;810.5;810.5;1;0.188;136.5;1.564182428
40;1;1;1;10;1;810.5;810.5;2;0.239666667;145.5333333;0.679869268
40;1;1;1;10;1;810.5;810.5;3;0.192;135.8;1.349073756
40;1;1;1;30;20;10449.62368;10449.62368;1;0.188;136.5;1.564182428
40;1;1;1;30;20;10449.62368;10449.62368;2;0.246;110.2333333;1.481740718
40;1;1;1;30;20;10449.62368;10449.62368;3;0.205333333;111.2333333;1.16714276
40;1;1;0;30;45;1605.498427;1605.498427;1;0.725;550.6;44.48100718
40;1;1;0;30;45;1605.498427;1605.498427;2;0.728333333;563.3333333;51.41700972
40;1;1;0;30;45;1605.498427;1605.498427;3;0.906333333;590.1;101.568138
40;1;5;1;10;20;2341.3664;2341.3664;1;0.297;108.2;22.78260886
40;1;5;1;10;20;2341.3664;2341.3664;2;0.233666667;91.90333333;2.010710212
40;1;5;1;10;20;2341.3664;2341.3664;3;0.320666667;174.6633333;81.66661918
40;1;5;1;30;45;14253.0052;14253.0052;1;0.194;107.1333333;1.26578917
40;1;5;1;30;45;14253.0052;14253.0052;2;0.305333333;105;2.160246899
40;1;5;1;30;45;14253.0052;14253.0052;3;0.175;116.0333333;0.987702159
40;1;10;1;10;45;3428.788;3428.788;1;0.237;73.08;0.813674792
40;1;10;1;10;45;3428.788;3428.788;2;0.242666667;170.0333333;40.67467134
40;1;10;1;10;45;3428.788;3428.788;3;0.555;146.8666667;10.99767652
40;5;1;1;10;20;2341.3664;468.27328;1;0.248;138.9333333;26.24275561
40;5;1;1;10;20;2341.3664;468.27328;2;0.175333333;105;1.840289832
40;5;1;1;10;20;2341.3664;468.27328;3;0.248666667;137.6666667;26.31923673
40;5;1;1;30;45;14253.0052;2850.60104;1;0.649666667;624.3;249.4044105
40;5;1;1;30;45;14253.0052;2850.60104;2;0.479;245;93.61648715
40;5;1;1;30;45;14253.0052;2850.60104;3;0.537333333;410;191.7825852
40;5;5;1;10;45;3428.788;685.7576;1;0.227333333;94.45333333;6.078296545
40;5;5;1;10;45;3428.788;685.7576;2;0.237666667;92.94333333;1.379887274
40;5;5;1;10;45;3428.788;685.7576;3;0.247666667;109.5433333;20.81467484
40;5;10;0;100;1;380.2977067;76.05954133;1;0.669666667;739.3666667;50.26704244
40;5;10;0;100;1;380.2977067;76.05954133;2;0.461666667;291.7333333;0.997775303
40;5;10;0;100;1;380.2977067;76.05954133;3;0.785666667;1040.866667;41.21693287
40;10;1;1;10;45;3428.788;342.8788;1;0.171;103.5666667;0.262466929
40;10;1;1;10;45;3428.788;342.8788;2;0.273333333;116.9333333;10.01210379
40;10;1;1;10;45;3428.788;342.8788;3;0.274;127.3;23.06917135
40;10;5;0;100;1;380.2977067;38.02977067;1;0.553333333;681.4666667;27.59243052
40;10;5;0;100;1;380.2977067;38.02977067;2;0.694666667;679.5;22.5141437
40;10;5;0;100;1;380.2977067;38.02977067;3;0.633;700.1666667;9.06470567
40;10;10;0;30;1;104.8370933;10.48370933;1;0.628;1038;29.87752779
40;10;10;0;30;1;104.8370933;10.48370933;2;0.553666667;1106;43.96210489
40;10;10;0;30;1;104.8370933;10.48370933;3;0.903333333;670.1333333;90.99166018
40;10;10;0;100;20;3171.13728;317.113728;1;0.631;718.4666667;21.09855182
40;10;10;0;100;20;3171.13728;317.113728;2;0.824666667;767.6;32.23321269
40;10;10;0;100;20;3171.13728;317.113728;3;0.541666667;383.3666667;11.29523007
